ProductID,CAtomCount,TotalAtomCount,HAtomCount,Class,Predicted
1181,30,56,23,low,low
1182,43,85,41,low,low
1183,16,30,8,low,low
1184,42,103,52,high,high
1185,36,90,43,low,low
1186,36,82,44,low,low
1187,29,73,36,low,low
1188,37,74,30,low,low
1189,38,82,38,high,high
1190,22,56,26,low,low
1191,15,34,15,low,low
1192,28,54,21,low,low
1193,9,17,6,low,low
1194,48,88,30,low,low
1195,40,90,44,low,low
1196,16,33,13,low,low
1197,25,49,19,low,low
1198,16,35,14,high,low
1199,19,34,11,low,low
1200,44,105,56,low,low
1201,23,47,19,low,low
1202,14,30,15,low,low
1203,13,26,8,low,low
1204,16,33,14,low,low
1205,13,33,12,low,low
1206,144,387,237,low,low
1207,28,54,20,low,low
